professor_id,name_ko,name_en,university,department,primary_field,openalex_id,source_url,orcid,identity_status,scopus_id
P0084,정상택,Sang Taek Jung,Seoul National University,Bioengineering,"Radiology, Nuclear Medicine and Imaging",A5044505570;A5113272899,https://apel.snu.ac.kr,0000-0001-7217-979X,verified,
P0085,한주리,Jooli Han,Seoul National University,Bioengineering,Biomedical Engineering,A5037623230,https://medi.snu.ac.kr/,0000-0002-5115-7791,verified,
P0086,권소희,So Hee Kwon,Yonsei University,College of Pharmacy,Molecular Biology,A5056109836,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=CIRBxYRDNb6XXx0UjbtEXQ%3D%3D&sosokcd=,0000-0002-3753-4415,verified,
P0087,김승현,Seung‐Hyeon Kim,Yonsei University,College of Pharmacy,Ceramics and Composites,A5101888747,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=ia1pfqrwAzBJ698okXpK9A%3D%3D&sosokcd=,0000-0002-5920-5962,probable,
P0088,김영수,Young Soo Kim,Yonsei University,College of Pharmacy,Pathology and Forensic Medicine,A5100713159;A5125643557,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=1m2KAv4r6SAEW2Py%2FwSr9A%3D%3D&sosokcd=,0009-0006-9699-5832,verified,
P0089,남호정,Hojung Nam,Yonsei University,College of Pharmacy,Computational Theory and Mathematics,A5043581759,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=hZGiLU6Y53ibXzSEOqKlSA%3D%3D&sosokcd=1015058,0000-0002-5109-9114,probable,
P0090,민도식,Do Sik Min,Yonsei University,College of Pharmacy,Molecular Biology,A5032767655,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=jpa%2BPlmkTGOoE1UXkSB7yw%3D%3D&sosokcd=,0000-0002-8570-5098,verified,
P0091,박수준,Soojun Park,Yonsei University,College of Pharmacy,Organic Chemistry,A5022826299,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=u%2FhT7uY1ax7E%2B0XwLNN%2FNw%3D%3D&sosokcd=1015058,0000-0002-0381-3192,verified,
P0092,유윤미,Yunmi Yu,Yonsei University,College of Pharmacy,Geriatrics and Gerontology,A5002289135,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=xPrzDytGtxcl%2B7o15wyf4Q%3D%3D&sosokcd=,0000-0002-8267-9453,verified,
P0093,윤이나,Ina Yoon,Yonsei University,College of Pharmacy,Molecular Biology,A5061509294,https://pharmacy.yonsei.ac.kr/faculty/name_search.do?mode=view&userId=dEgW9zOyrPIXFveahI9qDQ%3D%3D&sosokcd=1015058,0000-0001-5307-3754,verified,
