openalex_id,display_name,current_affiliation,shared_paper_count,seed_connection_count,connected_seed_professor_ids,web_title,web_url,auto_confidence,auto_reason,triage_tier
A5100780621,Jin Seok Kim,Yonsei University; Severance Hospital; University of Ulsan; Gangnam Severance Hospital; Yonsei University Health System,127,12,P0007; P0013; P0014; P0019; P0020; P0029; P0051; P0316; P0355; P0357; P0429; P0481,Jin Seok Kim,https://orcid.org/0000-0001-8986-8436,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100370231,Eun Young Kim,Yonsei University; Severance Hospital; Institute of Crop Science,116,12,P0061; P0072; P0100; P0208; P0327; P0332; P0357; P0364; P0414; P0422; P0454; P0517,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5009312981,Myung‐Geun Shin,Chonnam National University; Chonnam National University Hwasun Hospital,111,12,P0006; P0013; P0014; P0016; P0019; P0020; P0030; P0137; P0220; P0316; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5103121931,Jong-Ho Won,Soonchunhyang University Hospital Seoul,103,12,P0006; P0007; P0013; P0014; P0016; P0019; P0020; P0029; P0332; P0350; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5030107272,Keunchil Park,The University of Texas MD Anderson Cancer Center; Samsung Medical Center; Sungkyunkwan University,71,11,P0007; P0028; P0040; P0057; P0079; P0134; P0135; P0156; P0163; P0350; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100461239,Yu‐Jin Kim,Life Science Institute; Korea Brain Research Institute; Pusan National University,67,11,P0028; P0173; P0181; P0194; P0201; P0220; P0253; P0255; P0257; P0434; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5014715024,Chun Gwon Park,Korea Institute of Science and Technology; Sungkyunkwan University,67,11,P0001; P0006; P0007; P0021; P0026; P0050; P0134; P0208; P0219; P0303; P0476,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5055104158,Sun‐Woong Kang,Korea Institute of Toxicology; Korea University of Science and Technology,66,11,P0002; P0007; P0021; P0073; P0195; P0211; P0228; P0403; P0471; P0480; P0482,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5015430367,Woo Sik Lee,Maria Fertility Hospital,55,11,P0157; P0210; P0255; P0257; P0260; P0262; P0475; P0476; P0482; P0485; P0488,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5032199338,Sang‐Cheol Bae,Hanyang University Seoul Hospital; Anyang University,152,11,P0028; P0115; P0117; P0159; P0162; P0205; P0219; P0408; P0420; P0514; P0515,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5052064676,Byung‐Hee Oh,Korea Aerospace University; Sejong General Hospital; Incheon Medical Center; Sungkyunkwan University,111,11,P0007; P0028; P0030; P0051; P0064; P0067; P0083; P0107; P0186; P0206; P0477,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5017712197,So‐Young Bang,Kyungpook National University; Maria Fertility Hospital; Hanyang University Guri Hospital; Hanyang University Seoul Hospital; Hanyang University Hospital for Rheumatic Disease; Hanyang University; Korea Research Institute of Bioscience and Biotechnology,107,11,P0028; P0086; P0117; P0159; P0162; P0176; P0260; P0408; P0418; P0475; P0514,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5090832721,Hyun Cheol Chung,Yonsei University; Yonsei University Health System; Yonsei Cancer Hospital,98,10,P0007; P0028; P0029; P0058; P0142; P0236; P0253; P0332; P0339; P0463,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100387458,Jae Hoon Lee,Yonsei University; Gachon University Gil Medical Center; Dong-A University,97,10,P0007; P0013; P0014; P0020; P0029; P0316; P0324; P0350; P0355; P0359,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5025413315,Suk Chon,Kyung Hee University,86,10,P0030; P0189; P0192; P0201; P0315; P0332; P0333; P0343; P0346; P0511,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5044958787,Cheolwon Suh,Asan Medical Center; Catholic University of Korea; Chonnam National University Hwasun Hospital; Deleted Institution; Ewha Womans University; Moffitt Cancer Center; Seoul Medical Center; Seoul National University; Severance Hospital; The Catholic University of Korea Seoul St. Mary's Hospital; Ulsan College; University of Ulsan; Veterans Health Service Medical Center; Yonsei University,86,10,P0007; P0013; P0014; P0020; P0029; P0206; P0350; P0355; P0427; P0435,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5010875676,Ja Min Byun,Seoul National University; New Generation University College; Seoul National University Hospital; National University College; Biomedical Research Institute,81,10,P0007; P0013; P0020; P0029; P0064; P0201; P0306; P0316; P0355; P0362,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5043552754,Jae‐Won Joh,Changwon National University; Korea Institute of Materials Science,79,10,P0006; P0024; P0030; P0061; P0205; P0324; P0378; P0408; P0450; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5057636290,Seok Jin Nam,Samsung Medical Center; Sungkyunkwan University,72,10,P0025; P0028; P0040; P0061; P0073; P0324; P0350; P0354; P0394; P0414,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5040492383,Su‐Jae Lee,Ajou University; Beth Israel Deaconess Medical Center; CHA University; Ewha Womans University; Gwangju Institute of Science and Technology; Hanyang University; Harvard University; Hormel (United States); Institute for Basic Science; Korea Institute of Radiological and Medical Sciences; Kyung Hee University; Life University; National Cancer Center; Seoul National University; Sungkyunkwan University; University of Minnesota; University of North Carolina at Chapel Hill,60,10,P0028; P0034; P0056; P0066; P0117; P0137; P0157; P0221; P0228; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5076937960,Kyung‐Sang Yu,Seoul National University; Seoul National University Hospital,58,10,P0030; P0058; P0068; P0075; P0114; P0200; P0205; P0285; P0365; P0454,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5006422911,Jae‐Sook Ahn,Chonnam National University Hwasun Hospital,177,10,P0006; P0007; P0013; P0014; P0019; P0020; P0029; P0333; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5079269717,Gyoo Yeol Jung,Pohang University of Science and Technology,165,10,P0001; P0002; P0008; P0010; P0012; P0015; P0018; P0022; P0023; P0369,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5090693306,Dae‐Hyun Yoo,Hanyang University Seoul Hospital,114,10,P0075; P0114; P0115; P0117; P0162; P0219; P0291; P0316; P0408; P0514,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100426023,Sung‐Hyun Kim,Dong-A University,106,10,P0007; P0013; P0014; P0019; P0020; P0029; P0316; P0355; P0409; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5020684127,Jeong‐Taek Woo,Kyung Hee University,105,10,P0030; P0083; P0189; P0192; P0201; P0206; P0253; P0332; P0346; P0511,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5023527480,Yong Park,Ewha Womans University; Texas A&M University System; Korea University; Augusta University; New Generation University College; Chonnam National University Hwasun Hospital; Korea University; Ewha Womans University Mokdong Hospital; Korea University Anam Hospital; Jeonbuk National University,86,9,P0006; P0007; P0013; P0014; P0019; P0020; P0029; P0355; P0403,",17(51$7,21$/ )2580 21 (175(35(1(856+,3",https://www.jinju.go.kr/jinjuforum/files/brochure-2025.pdf,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5016807045,Dong‐Yeop Shin,Seoul National University; Seoul National University Hospital,79,9,P0007; P0013; P0014; P0019; P0020; P0029; P0306; P0316; P0355,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5008186343,Kyeung Min Joo,Samsung Medical Center; Research Institute for Future Medicine; Sungkyunkwan University,77,9,P0007; P0028; P0031; P0132; P0250; P0332; P0334; P0361; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5012791367,Inpyo Choi,Chungnam National University; Genomics (United Kingdom); Korea Research Institute of Bioscience and Biotechnology; Korea University of Science and Technology,68,9,P0001; P0011; P0017; P0051; P0102; P0135; P0355; P0489; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5081944917,Duk‐Soo Bae,Samsung Medical Center; Sungkyunkwan University,317,9,P0006; P0007; P0025; P0028; P0040; P0228; P0250; P0329; P0342,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5089171427,Young Sam Kim,Chungbuk National University; Inha University; Yonsei University; Chungnam National University; Cheongju University; Severance Hospital; Yonsei University Health System,296,9,P0072; P0117; P0206; P0277; P0327; P0333; P0357; P0409; P0500,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5083751923,Jong Oh Kim,Yeungnam University; Sungkyunkwan University,214,9,P0012; P0072; P0142; P0149; P0179; P0188; P0204; P0255; P0352,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100672939,Jeong‐Won Lee,Samsung Medical Center,210,9,P0003; P0006; P0025; P0028; P0051; P0206; P0219; P0250; P0339,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5006618457,Eun‐Seok Jeon,Sungkyunkwan University,132,9,P0007; P0021; P0030; P0050; P0137; P0205; P0206; P0211; P0446,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5079697486,Yoon‐Kyoung Sung,Hanyang University Seoul Hospital; Hanyang University,131,9,P0115; P0117; P0162; P0219; P0343; P0408; P0420; P0514; P0515,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5019406140,Jeeyun Lee,Samsung Medical Center; Sungkyunkwan University,123,9,P0025; P0028; P0061; P0072; P0250; P0324; P0350; P0457; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101479359,Deok‐Hwan Yang,Chonnam National University Hospital; Chonnam National University Hwasun Hospital,121,9,P0006; P0013; P0014; P0016; P0019; P0020; P0355; P0362; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5010232519,Young Rok Do,Keimyung University Dongsan Medical Center; Keimyung University,120,9,P0007; P0013; P0014; P0019; P0020; P0029; P0052; P0350; P0355,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5055431215,Kyoung‐Mee Kim,Samsung Medical Center; Sungkyunkwan University,114,9,P0007; P0028; P0250; P0285; P0306; P0324; P0384; P0445; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100649694,Inho Kim,Seoul National University Hospital,106,9,P0007; P0013; P0014; P0020; P0029; P0043; P0312; P0316; P0355,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100419666,Eun Young Lee,Seoul National University; Asan Medical Center; National University College,102,9,P0028; P0040; P0075; P0079; P0083; P0100; P0115; P0117; P0514,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5103193360,Sang Kyun Sohn,Kyungpook National University Hospital,101,9,P0007; P0013; P0014; P0019; P0020; P0029; P0108; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5029214767,Jae‐Hak Park,Seoul National University,78,8,P0067; P0075; P0079; P0228; P0258; P0297; P0418; P0451,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5047283010,Tae Jung Park,Korea Advanced Institute of Science and Technology; Korea Basic Science Institute; Chung-Ang University,77,8,P0022; P0180; P0230; P0231; P0234; P0236; P0284; P0469,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5047846074,Kyungdo Han,"University of Nevada, Las Vegas; Soongsil University; Naver (South Korea)",70,8,P0030; P0201; P0205; P0333; P0349; P0399; P0405; P0454,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5028559225,Sang‐Hyun Ihm,St. Mary's Hospital; The Catholic University of Korea Bucheon St. Mary's Hospital; Catholic University of Korea,68,8,P0030; P0206; P0319; P0324; P0434; P0446; P0511; P0516,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5061006522,Chel Hun Choi,Samsung Medical Center; Kangbuk Samsung Hospital; Sungkyunkwan University,333,8,P0003; P0006; P0025; P0028; P0206; P0250; P0342; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5053575162,Myeong‐Ki Hong,Yonsei University; Severance Hospital; Gangnam Severance Hospital,205,8,P0007; P0030; P0206; P0226; P0319; P0346; P0357; P0434,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5036888293,Joon Ho Moon,Kyungpook National University Hospital; Seoul National University Bundang Hospital; Kyungpook National University,113,8,P0007; P0013; P0014; P0019; P0020; P0108; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5065244228,Won Ki Kang,Samsung Medical Center; Sungkyunkwan University,107,8,P0025; P0028; P0096; P0253; P0324; P0337; P0350; P0435,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5025699995,Soo‐Kyung Cho,Hanyang University Seoul Hospital; Hanyang University,101,8,P0115; P0117; P0162; P0219; P0408; P0420; P0514; P0515,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5074645251,Jung‐Yun Lee,Yonsei University; Korea University Medical Center; Korea University,98,7,P0006; P0025; P0329; P0337; P0342; P0457; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101448831,Byung Chul Lee,Seoul National University; New Generation University College; Seoul National University Bundang Hospital; National Institute of Ecology; National University College; Bioengineering Center; Hallym University Sacred Heart Hospital,91,7,P0051; P0075; P0114; P0123; P0197; P0233; P0354,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5022350068,Duk Lyul Na,Samsung Medical Center; Sungkyunkwan University,88,7,P0007; P0123; P0132; P0325; P0425; P0439; P0474,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5077530265,Jong‐Seok Lim,East Kent Hospitals University NHS Foundation Trust; Sookmyung Women's University; Sungkyunkwan University,81,7,P0042; P0204; P0288; P0332; P0368; P0463; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5019254683,Jee Hyang Jeong,Ewha Womans University; Ewha Womans University Medical Center; Ewha Womans University Mokdong Hospital; Ewha Womans University Seoul Hospital,78,7,P0206; P0318; P0325; P0371; P0379; P0399; P0416,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5001212085,Sae‐Kwang Ku,Daegu Haany University; Daegu University,68,7,P0012; P0149; P0189; P0204; P0208; P0287; P0464,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5102924577,Chang‐Ki Min,The Catholic University of Korea Seoul St. Mary's Hospital,67,7,P0006; P0007; P0013; P0020; P0029; P0291; P0355,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100370202,Dong‐Hun Lee,Chonnam National University; Konkuk University; Kyungpook National University; Dunsan Korean Medicine Hospital; Konkuk University Medical Center,121,7,P0206; P0254; P0255; P0257; P0262; P0324; P0339,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5031499331,Hye‐Soon Lee,Hanyang University Guri Hospital; Hanyang University Seoul Hospital; Hanyang University Hospital for Rheumatic Disease; Hanyang University; Korea Research Institute of Bioscience and Biotechnology,90,6,P0028; P0117; P0159; P0162; P0408; P0514,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5042366735,Su Hwan Lee,Yonsei University; Severance Hospital,82,6,P0327; P0357; P0384; P0409; P0428; P0446,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5063692305,Tae Ki Yoon,Kosin University Gospel Hospital; Maria Fertility Hospital; CHA University Fertility Center,79,6,P0157; P0210; P0262; P0475; P0476; P0482,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5062543970,Youngjoo Kwon,Ewha Womans University,76,6,P0208; P0337; P0367; P0476; P0482; P0488,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5049891346,Hawk Kim,Ulsan College; Yonsei University; Severance Hospital; University of Ulsan; Gachon University Gil Medical Center; Ulsan University Hospital; Chonnam National University Hwasun Hospital,76,6,P0007; P0013; P0014; P0302; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5042842813,Kwideok Park,Bio-Medical Science (South Korea); Korea Institute of Science and Technology; Korea University of Science and Technology,74,6,P0007; P0021; P0192; P0211; P0228; P0262,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5081852574,In‐Wha Kim,Seoul National University; New Generation University College,74,6,P0040; P0043; P0105; P0115; P0204; P0494,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101519910,Kangseok Lee,Chung-Ang University,71,6,P0210; P0291; P0462; P0466; P0476; P0503,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5111738208,Dong‐Wook Ryang,Chonnam National University; Chonnam National University Hospital; Chonnam National University Hwasun Hospital,70,6,P0006; P0013; P0014; P0016; P0030; P0137,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5026719950,Yoo-Young Lee,Queensland Health; The University of Queensland; Samsung Medical Center; Sungkyunkwan University,177,6,P0006; P0025; P0028; P0250; P0329; P0342,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100672940,Jeong‐Won Lee,Yonsei University; Samsung (South Korea); Severance Hospital; Samsung Medical Center; Gangnam Severance Hospital; Yonsei Cancer Hospital; Sungkyunkwan University,123,6,P0006; P0025; P0028; P0075; P0318; P0342,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5064163183,Byung‐Hoon Min,Samsung Medical Center; Sungkyunkwan University,108,6,P0028; P0186; P0384; P0428; P0445; P0499,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5026351538,Seung Tae Kim,Samsung Medical Center; Sungkyunkwan University,99,5,P0028; P0061; P0235; P0324; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5056480807,Minae An,Samsung Medical Center; Sungkyunkwan University,92,5,P0028; P0330; P0364; P0366; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5090481007,Hae‐Ock Lee,Catholic University of Korea,80,5,P0028; P0031; P0361; P0484; P0485,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5067941687,Kang‐Yell Choi,Yonsei University,73,5,P0001; P0090; P0117; P0221; P0463,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5103005676,Tae‐Joong Kim,Samsung Medical Center,271,5,P0006; P0025; P0028; P0250; P0329,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5049158887,Ja‐Young Kwon,Yonsei University; University Health System; Yonsei University Health System,110,5,P0025; P0156; P0163; P0337; P0419,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5007213477,Hyuk Lee,Samsung Medical Center; Sungkyunkwan University,101,5,P0007; P0028; P0384; P0428; P0445,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100765035,Jinwoong Kim,Yonsei University,80,5,P0042; P0050; P0055; P0285; P0360,,,0.5,manual review needed,A_review_first
A5077653549,Insuk So,Seoul National University; National University College,96,4,P0068; P0077; P0209; P0511,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5078813466,Jin Kyun Park,Seoul National University; New Generation University College; Seoul National University Hospital,87,4,P0075; P0114; P0115; P0117,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5048381976,Yu Seok Youn,Sungkyunkwan University,86,4,P0117; P0149; P0208; P0212,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5071054343,Samooel Jung,Chungnam National University,80,4,P0226; P0253; P0281; P0282,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101696711,Da Young Lee,Gwangju Institute of Science and Technology; Chung-Ang University,79,4,P0042; P0077; P0209; P0226,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5061236697,Young Ae Kang,Ulsan College; Yonsei University; Severance Hospital; Asan Medical Center; University of Ulsan; Gangnam Severance Hospital; Yonsei University Health System,158,4,P0077; P0327; P0357; P0409,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5086090575,Chul Soon Yong,Yeungnam University,147,4,P0142; P0149; P0179; P0204,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5103118075,Seung‐Jung Park,Ulsan College; Asan Medical Center; Samsung Medical Center; University of Ulsan,134,4,P0030; P0206; P0324; P0346,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5061232210,Kyung Soo Chung,Yonsei University; Severance Hospital; Gangnam Severance Hospital; Yonsei University Health System,130,4,P0327; P0357; P0409; P0500,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5012996842,Young‐Hak Kim,Ulsan College; Asan Medical Center; University of Ulsan,124,4,P0206; P0219; P0242; P0346,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5046649612,Byeong‐Seon Jeong,Yeungnam University,120,4,P0038; P0141; P0204; P0488,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5019050469,Seok‐Soo Byun,Seoul National University; Seoul National University Bundang Hospital,102,4,P0021; P0051; P0123; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5041252674,Soon Il Kim,Inha University; Korea Polar Research Institute,120,4,P0197; P0326; P0357; P0378,,,0.5,manual review needed,A_review_first
A5058334718,Jae‐Kwan Song,Ulsan College; Asan Medical Center; University of Ulsan,90,3,P0030; P0206; P0346,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5089189706,Gynheung An,Kyung Hee University,82,3,P0181; P0185; P0194,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5036978198,Sehui Kim,Yonsei University; Korea University; Korea University Medical Center; Yeungnam University Medical Center; Korea University Guro Hospital,81,3,P0057; P0076; P0079,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5055470105,Won Bok Lee,Chung-Ang University; Immunité et Cancer; National Institute of Agricultural Science and Technology; National University College; New Generation University College; Pusan National University; SNUH SMG-SNU Boramae Medical Center; Seoul National University,79,3,P0332; P0334; P0504,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5048764382,Cheol Whan Lee,Ulsan College; Asan Medical Center; University of Ulsan,197,3,P0206; P0219; P0346,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5073499303,Joohun Ha,Kyung Hee University,138,3,P0201; P0253; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100657829,Tae‐Kyung Kim,Korea Food Research Institute,136,3,P0253; P0281; P0360,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5041716011,Insug Kang,Kyung Hee University,119,3,P0168; P0200; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5052439030,Sung Kyu Hong,Seoul National University; Seoul National University Bundang Hospital; Prostate Cancer Research; Prostate Cancer UK,112,3,P0051; P0326; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5007010813,Ah Young Leem,Yonsei University; Severance Hospital,85,2,P0327; P0357,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5109084252,Sang‐Gi Min,Konkuk University,82,2,P0279; P0360,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5002967110,Jae‐Sung Rhee,Incheon National University,90,1,P0137,,,0.5,manual review needed,A_review_first
A5045179524,Seung Cheol Kim,Toronto Western Hospital,62,19,P0025; P0028; P0040; P0051; P0057; P0097; P0285; P0324; P0329; P0337; P0342; P0354; P0359; P0375; P0393; P0414; P0427; P0449; P0456,,,0.5,manual review needed,C_manual
A5100647740,Young Joo Park,Sutro Biopharma (United States),51,19,P0007; P0014; P0028; P0034; P0051; P0057; P0073; P0075; P0083; P0123; P0137; P0188; P0205; P0322; P0324; P0355; P0432; P0475; P0482,,,0.5,manual review needed,C_manual
A5083448714,Chang‐Seok Ki,Genome and Company (South Korea),53,17,P0006; P0028; P0061; P0073; P0153; P0154; P0162; P0201; P0206; P0233; P0284; P0324; P0325; P0339; P0365; P0422; P0429,,,0.5,manual review needed,C_manual
A5100335632,Sun Young Kim,The Schwarzman Animal Medical Center,47,15,P0007; P0029; P0030; P0182; P0189; P0201; P0206; P0256; P0324; P0332; P0334; P0342; P0383; P0458; P0486,,,0.5,manual review needed,C_manual
A5090893923,Jae Min Jeong,Cell Biotech (South Korea),132,14,P0067; P0072; P0073; P0114; P0115; P0123; P0172; P0200; P0337; P0345; P0361; P0399; P0486; P0500,,,0.5,manual review needed,C_manual
A5059447980,Lee H. Smith,Biruni University; Addenbrooke's Hospital; Anglia Ruskin University,74,9,P0030; P0201; P0205; P0219; P0228; P0266; P0379; P0380; P0416,,,0.5,manual review needed,C_manual
A5025802408,Sang Hong Baek,"University of California, Los Angeles",82,8,P0007; P0030; P0206; P0211; P0279; P0337; P0446; P0476,,,0.5,manual review needed,C_manual
A5023387547,Myong Cheol Lim,National Cancer Center; National Cancer Center,86,7,P0006; P0025; P0324; P0329; P0337; P0342; P0484,,,0.5,manual review needed,C_manual
A5076088179,Hyeon‐Seok Eom,National Cancer Center; National Cancer Center,72,7,P0007; P0013; P0020; P0029; P0324; P0332; P0355,,,0.5,manual review needed,C_manual
A5075769495,Joon Chang,Tufts University,236,7,P0007; P0327; P0333; P0357; P0409; P0439; P0500,,,0.5,manual review needed,C_manual
A5035053381,Hyun Soon Lillehoj,Agricultural Research Service; Beltsville Agricultural Research Center,133,5,P0223; P0224; P0225; P0253; P0259,,,0.5,manual review needed,C_manual
A5052867457,Hee‐Sung Chae,University of Mississippi,74,5,P0042; P0055; P0148; P0284; P0285,,,0.5,manual review needed,C_manual
A5100413485,Ji‐Hyun Lee,Gachon University; Brigham and Women's Hospital; University of Florida Health; University of Florida; Quantitative BioSciences; Ajou University Hospital; Chungnam National University Hospital; Kyung Hee University Hospital at Gangdong; UF Health Cancer Center,68,31,P0013; P0020; P0030; P0056; P0090; P0093; P0100; P0172; P0200; P0205; P0230; P0236; P0256; P0312; P0332; P0339; P0342; P0354; P0355; P0356; P0374; P0384; P0393; P0409; P0414; P0428; P0445; P0454; P0476; P0499; P0512,,,0.5,manual review needed,D_noise_check
A5036364665,Keon Wook Kang,Seoul National University; Cancer Research Institute; New Generation University College; Seoul National University Hospital; National University College,83,22,P0029; P0033; P0040; P0042; P0050; P0051; P0067; P0073; P0075; P0079; P0114; P0123; P0197; P0204; P0245; P0306; P0317; P0324; P0337; P0339; P0500; P0505,,,0.5,manual review needed,D_noise_check
A5008009334,Hyesook Park,Ewha Womans University; National Institute of Meteorological Sciences,163,22,P0117; P0219; P0225; P0317; P0325; P0337; P0347; P0365; P0384; P0393; P0407; P0408; P0409; P0420; P0422; P0424; P0428; P0430; P0438; P0444; P0449; P0453,,,0.5,manual review needed,D_noise_check
A5100454659,Dong‐Hyun Kim,Sahmyook University,27,22,P0023; P0050; P0066; P0068; P0072; P0073; P0075; P0118; P0134; P0142; P0149; P0197; P0204; P0272; P0277; P0285; P0299; P0324; P0477; P0494; P0495; P0498,,,0.5,manual review needed,D_noise_check
A5100719069,Tae Min Kim,Seoul National University; New Generation University College; Seoul National University Hospital,99,20,P0001; P0007; P0017; P0028; P0029; P0043; P0057; P0064; P0067; P0076; P0077; P0079; P0083; P0115; P0134; P0205; P0209; P0355; P0498; P0499,,,0.5,manual review needed,D_noise_check
A5006728335,Young Dae Kim,Yonsei University; Severance Hospital; Yonsei University Health System,85,20,P0007; P0014; P0030; P0034; P0052; P0068; P0073; P0099; P0206; P0253; P0291; P0319; P0326; P0379; P0380; P0416; P0434; P0446; P0504; P0515,,,0.5,manual review needed,D_noise_check
