openalex_id,display_name,current_affiliation,shared_paper_count,seed_connection_count,connected_seed_professor_ids,web_title,web_url,auto_confidence,auto_reason,triage_tier
A5101534267,Kyoung Eun Lee,Pohang University of Science and Technology; Ewha Womans University; University of Michigan; Seoul National University Hospital; Seoul National University Bundang Hospital; National Cancer Center; Pusan National University Yangsan Hospital,34,18,P0028; P0040; P0322; P0335; P0349; P0350; P0354; P0355; P0356; P0393; P0394; P0409; P0414; P0427; P0434; P0435; P0449; P0456,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5000424971,Dong‐Chan Oh,Seoul National University; New Generation University College; National University,70,17,P0032; P0033; P0035; P0036; P0038; P0042; P0044; P0053; P0055; P0057; P0086; P0197; P0285; P0295; P0339; P0486; P0492,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100643662,Taesung Park,Seoul National University; National University College,54,17,P0028; P0040; P0043; P0057; P0078; P0100; P0105; P0201; P0205; P0231; P0240; P0249; P0337; P0463; P0484; P0493; P0503,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5001348492,Murim Choi,Seoul National University; New Generation University College; National University College,53,17,P0013; P0014; P0020; P0028; P0029; P0056; P0057; P0060; P0064; P0066; P0067; P0068; P0075; P0079; P0114; P0439; P0477,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100614827,Jin‐Man Kim,Konyang University; Yonsei University; Severance Hospital; Asan Medical Center; Kyungpook National University; Konyang University Hospital; Chungnam National University Hospital,51,17,P0028; P0034; P0040; P0060; P0072; P0083; P0088; P0104; P0205; P0251; P0265; P0281; P0324; P0332; P0334; P0339; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100420784,Taehyung P. Kim,Sungkyunkwan University,46,17,P0013; P0014; P0019; P0020; P0021; P0026; P0051; P0056; P0073; P0108; P0117; P0165; P0208; P0220; P0228; P0301; P0324,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5029825934,Min‐Jung Kang,Korea Institute for Advanced Study; Korea Advanced Institute of Science and Technology; Gyeongnam Provincial Namhae College; Advanced Analysis Center; Korea Institute of Science and Technology; Korea University of Science and Technology,39,17,P0063; P0086; P0156; P0297; P0319; P0334; P0335; P0343; P0357; P0360; P0384; P0408; P0409; P0428; P0444; P0453; P0498,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100773895,So Yeon Park,Seoul National University; Seoul National University Bundang Hospital,38,17,P0021; P0040; P0051; P0057; P0061; P0064; P0075; P0079; P0091; P0117; P0123; P0162; P0324; P0337; P0405; P0409; P0414,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5102881408,Sung‐Soo Yoon,Seoul National University; Seoul National University Hospital; Kyung Hee University; Kyung Hee University Dental Hospital,206,17,P0007; P0013; P0014; P0020; P0028; P0029; P0043; P0079; P0105; P0115; P0306; P0316; P0337; P0355; P0368; P0449; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5070098382,Yoon Kyung Jeon,Seoul National University; Cancer Research Institute; New Generation University College; Seoul National University Hospital; National University College,193,17,P0007; P0028; P0029; P0051; P0057; P0060; P0064; P0075; P0076; P0079; P0114; P0115; P0209; P0306; P0316; P0357; P0493,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5004166441,Seok Jin Kim,Samsung (South Korea); Samsung Medical Center; Seoul National University Bundang Hospital; Sungkyunkwan University,152,17,P0006; P0007; P0013; P0014; P0019; P0020; P0028; P0029; P0050; P0201; P0324; P0339; P0355; P0359; P0393; P0456; P0484,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5081586719,Chang Mo Moon,Ewha Womans University; Ewha Womans University Medical Center,84,16,P0330; P0338; P0355; P0356; P0357; P0359; P0361; P0364; P0384; P0388; P0393; P0400; P0428; P0443; P0445; P0446,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5103327413,Seonyang Park,Inje University Haeundae Paik Hospital,70,16,P0007; P0013; P0014; P0020; P0021; P0029; P0040; P0043; P0079; P0115; P0210; P0316; P0337; P0355; P0494; P0499,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5086899824,Sung Ho Ryu,Pohang University of Science and Technology,46,16,P0001; P0011; P0023; P0030; P0040; P0041; P0042; P0073; P0090; P0100; P0153; P0213; P0214; P0252; P0272; P0332,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5047490140,Hye Ryun Kim,Yonsei University; Severance Hospital; Gangnam Severance Hospital; Yonsei Cancer Hospital; Seoul Women's University,43,16,P0040; P0068; P0104; P0157; P0206; P0221; P0253; P0260; P0265; P0339; P0357; P0438; P0475; P0476; P0482; P0488,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5066161983,Se‐Hoon Lee,Samsung (South Korea); Samsung Medical Center; Seoul Medical Center; Bristol-Myers Squibb (South Korea); Sungkyunkwan University,156,16,P0001; P0028; P0029; P0040; P0057; P0079; P0134; P0135; P0163; P0205; P0250; P0324; P0326; P0350; P0484; P0485,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5080295544,Bhumsuk Keam,Seoul National University; Seoul National University Hospital,139,16,P0001; P0017; P0023; P0028; P0029; P0057; P0064; P0067; P0079; P0200; P0206; P0209; P0250; P0253; P0332; P0350,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5041899046,Soo‐Mee Bang,Seoul National University Bundang Hospital,114,16,P0007; P0013; P0014; P0019; P0020; P0029; P0043; P0051; P0075; P0123; P0206; P0316; P0347; P0350; P0355; P0428,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5076115706,Jinny Park,Korea University; Ansan University; Korea University,79,15,P0007; P0013; P0014; P0029; P0051; P0068; P0236; P0324; P0350; P0351; P0355; P0359; P0361; P0388; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5034739279,Myung‐Ju Ahn,Samsung Medical Center; Hanyang University Medical Center; Hanyang University; Sungkyunkwan University,70,15,P0013; P0028; P0033; P0040; P0079; P0117; P0134; P0135; P0156; P0163; P0253; P0337; P0355; P0484; P0511,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5101629084,Jeong Eon Lee,Seoul National University; Soonchunhyang University Hospital Seoul; Samsung Medical Center; National Institute of Ecology; Sungkyunkwan University,62,15,P0014; P0025; P0028; P0040; P0073; P0275; P0297; P0350; P0354; P0394; P0414; P0444; P0454; P0484; P0495,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5030740700,Jihee Lee Kang,Ewha Womans University,59,15,P0330; P0359; P0361; P0364; P0376; P0379; P0388; P0393; P0400; P0409; P0415; P0421; P0433; P0441; P0489,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5100374569,Dae‐Hyun Kim,Yonsei University; Chungnam National University; Konkuk University; Hebrew SeniorLife; Pusan National University,53,15,P0066; P0073; P0108; P0205; P0246; P0253; P0254; P0256; P0262; P0269; P0306; P0316; P0457; P0491; P0508,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5022675590,Joo‐Youn Cho,Seoul National University; New Generation University College; Seoul National University Hospital; National University College,46,15,P0043; P0058; P0067; P0068; P0075; P0079; P0114; P0200; P0205; P0285; P0297; P0364; P0365; P0386; P0421,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5035032984,Jung Hyun Chang,Seoul National University Hospital; National Health Insurance Service; Stanford University,128,15,P0319; P0327; P0361; P0371; P0384; P0385; P0386; P0409; P0420; P0427; P0428; P0429; P0445; P0446; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5024676627,Sun Young Rha,Yonsei University; Yonsei University Health System; Indiana University Melvin and Bren Simon Comprehensive Cancer Center; Yonsei Cancer Hospital,117,15,P0007; P0028; P0029; P0040; P0058; P0104; P0206; P0250; P0253; P0324; P0332; P0339; P0378; P0453; P0503,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5052102685,Hyung‐Min Chung,Konkuk University; Konkuk University Medical Center,108,15,P0007; P0030; P0056; P0061; P0064; P0100; P0157; P0211; P0228; P0333; P0474; P0476; P0480; P0481; P0482,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5075143500,Young‐Ger Suh,CHA University; Chungbuk National University; Gachon University; Government of the Republic of Korea; National University College; New Generation University College; Seoul National University; Seoul National University of Science and Technology; Sookmyung Women's University; Sungshin Women's University; Yonsei University,102,15,P0038; P0040; P0051; P0053; P0055; P0056; P0102; P0114; P0197; P0339; P0486; P0488; P0489; P0492; P0500,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
A5015112169,Chul Won Jung,Samsung Medical Center; Sungkyunkwan University,96,14,P0006; P0007; P0013; P0014; P0019; P0020; P0029; P0251; P0253; P0324; P0326; P0350; P0355; P0449,,,0.82,"strong network signal, but no explicit professor title evidence",A_review_first
